name,attractive,intelligence,budget,minattraction
boy1,60,11,96,53
boy2,38,80,37,94
boy3,24,23,21,88
boy4,64,2,63,84
boy5,0,30,16,11
boy6,58,11,18,24
boy7,31,86,42,42
boy8,78,80,96,78
boy9,94,64,63,70
boy10,85,92,79,8
boy11,93,20,58,29
boy12,4,85,47,74
boy13,17,6,3,32
boy14,55,98,94,60
boy15,66,33,71,91
boy16,13,76,3,40
boy17,17,20,47,69
boy18,29,67,6,43
boy19,63,47,80,99
boy20,11,11,46,81
boy21,28,53,76,75
boy22,51,53,49,19
boy23,77,93,99,90
boy24,65,90,6,91
boy25,58,81,95,28
boy26,26,40,29,47
boy27,99,92,76,8
boy28,17,26,94,55
boy29,87,5,99,58
boy30,67,14,18,26
boy31,79,39,35,71
boy32,61,18,17,65
boy33,95,39,19,9
boy34,10,93,58,89
boy35,38,29,17,81
boy36,57,32,89,7
boy37,44,13,53,54
boy38,86,80,55,87
boy39,34,89,42,89
boy40,2,68,19,63
boy41,74,93,31,96
boy42,30,96,79,63
boy43,90,93,63,61
boy44,92,43,77,1
boy45,93,6,33,90
boy46,37,74,62,32
boy47,21,79,40,56
boy48,67,31,97,22
boy49,57,11,28,26
boy50,4,99,65,99
boy51,48,1,10,1
boy52,89,17,98,33
boy53,48,59,55,39
boy54,72,25,92,40
boy55,44,7,53,18
boy56,33,93,80,1
boy57,14,50,64,35
boy58,16,60,83,28
boy59,37,99,90,81
boy60,13,55,38,19
boy61,31,13,20,37
boy62,6,81,28,75
boy63,55,8,26,1
boy64,0,77,61,80
boy65,39,1,66,27
boy66,97,4,99,70
boy67,87,87,12,4
boy68,3,89,59,68
boy69,88,14,70,3
boy70,27,43,95,25
boy71,18,75,30,30
boy72,15,6,63,59
boy73,98,13,87,73
boy74,96,83,19,5
boy75,64,16,51,39
boy76,4,99,62,2
boy77,69,13,8,87
boy78,44,81,70,34
boy79,33,54,57,32
boy80,62,22,77,70
boy81,66,29,45,78
boy82,28,13,32,62
boy83,30,82,88,78
boy84,11,49,15,87
boy85,33,63,59,2
boy86,41,67,79,2
boy87,4,21,0,16
boy88,98,7,58,53
boy89,86,9,19,34
boy90,22,6,94,83
boy91,43,33,94,20
boy92,97,94,10,86
boy93,19,51,49,51
boy94,17,55,94,22
boy95,19,43,54,22
boy96,43,18,43,33
boy97,88,10,21,80
boy98,38,86,96,46
boy99,97,63,57,58
