name,attractive,intelligence,budget,minattraction
boy1,53,52,97,71
boy2,81,38,25,87
boy3,11,9,38,45
boy4,92,72,91,55
boy5,73,12,8,68
boy6,29,30,0,24
boy7,59,63,33,69
boy8,24,86,26,46
boy9,82,59,93,85
boy10,84,64,11,28
boy11,91,16,69,29
boy12,25,14,40,74
boy13,72,91,2,31
boy14,94,76,92,71
boy15,12,19,12,15
boy16,13,48,32,39
boy17,17,61,36,35
boy18,99,22,50,70
boy19,77,12,60,61
boy20,66,0,16,26
boy21,23,96,80,73
boy22,3,95,19,12
boy23,64,6,37,52
boy24,32,20,19,48
boy25,76,10,83,13
boy26,9,11,99,76
boy27,48,7,76,19
boy28,80,91,51,88
boy29,52,86,35,29
boy30,6,92,91,56
boy31,84,90,56,12
boy32,77,2,46,60
boy33,56,93,80,48
boy34,10,72,69,51
boy35,78,1,43,82
boy36,46,38,72,28
boy37,36,0,60,83
boy38,31,13,6,91
boy39,48,8,77,35
boy40,25,51,42,76
boy41,38,23,81,30
boy42,3,60,6,62
boy43,5,40,47,18
boy44,53,73,39,61
boy45,51,67,6,94
boy46,29,36,44,56
boy47,0,48,88,41
boy48,96,29,23,95
boy49,84,28,49,96
boy50,95,47,20,58
boy51,71,54,15,83
boy52,12,25,6,27
boy53,21,95,93,40
boy54,48,40,34,92
boy55,28,90,89,38
boy56,37,47,84,42
boy57,47,92,16,63
boy58,86,13,95,6
boy59,50,44,74,25
boy60,0,80,95,19
boy61,50,71,85,56
boy62,17,82,36,42
boy63,60,41,9,94
boy64,64,70,42,52
boy65,30,22,50,61
boy66,85,27,12,75
boy67,11,2,19,36
boy68,4,48,15,81
boy69,46,41,38,6
boy70,39,17,74,95
boy71,32,98,78,29
boy72,9,4,52,86
boy73,83,96,19,23
boy74,96,0,47,33
boy75,15,11,15,36
boy76,76,93,85,52
boy77,77,43,4,58
boy78,30,69,31,18
boy79,27,9,94,83
boy80,77,24,72,24
boy81,25,88,8,70
boy82,13,84,68,75
boy83,72,97,43,89
boy84,73,73,98,1
boy85,26,30,48,28
boy86,67,86,44,28
boy87,27,90,84,48
boy88,24,6,56,21
boy89,84,39,44,4
boy90,83,0,26,45
boy91,75,6,84,43
boy92,46,22,90,35
boy93,23,34,53,36
boy94,38,73,64,16
boy95,90,49,8,72
boy96,81,71,88,1
boy97,27,40,14,3
boy98,39,54,42,24
boy99,7,31,8,22
